title,year,mdl_id,networks,genres,tags,cast
Twinkling Watermelon,2023,739603,"TVING,tvN","Romance,Youth,Drama,Fantasy","Time Travel,Sign Language,Child From The Future,Father-Son Relationship,1990s,Music,Coming Of Age,Deafness,Comedy,Bromance",https://mydramalist.com/739603-sparkling-watermelon/cast
Move to Heaven,2021,49231,Netflix,"Life,Drama","Uncle-Nephew Relationship,Autism,Death,Tearjerker,Mourning,Savant Syndrome,Life Lesson,Cleaning And Organizing,Aspergerï¿½s Syndrome,Autistic Male Lead",https://mydramalist.com/49231-move-to-heaven/cast
Moving,2023,25560,"Disney+,Hulu","Action,Thriller,Mystery,Supernatural","Graphic Violence,Supernatural Power,Romance,Student Female Lead,Student Male Lead,Family Relationship,Past And Present,Multiple Mains,Fantasy,Suspense",https://mydramalist.com/25560-moving/cast
Weak Hero Class 1,2022,702267,,"Action,Youth,Drama","Skilled Fighter,Violence,Adapted From A Webtoon,Friendship,School Bullying,Bromance,Fight,High School,Introverted Male Lead,Gang",https://mydramalist.com/702267-weak-hero/cast
Hospital Playlist Season 2,2021,57173,"Netflix,tvN","Romance,Life,Drama,Medical","Multiple Mains,Band,Music,Multiple Couples,Comedy,Illness,Strong Female Lead,Bromance,Divorced Male Lead,Long Distance Relationship",https://mydramalist.com/57173-hospital-playlist-2/cast
Flower of Evil,2020,54625,tvN,"Thriller,Romance,Crime,Melodrama","Family Secret,Mystery,Suspense,Hidden Personality,Antisocial Personality Disorder,Deception,Investigation,Smart Female Lead,Murder,Character Development",https://mydramalist.com/54625-flower-of-evil/cast
Alchemy of Souls,2022,52939,"Netflix,tvN","Action,Historical,Romance,Fantasy","Transmigration,Master-Disciple Relationship,Multiple Mains,Hidden Identity,Supernatural,Body Swap,Elemental Power,Strong Female Lead,Fake Identity,Comedy",https://mydramalist.com/52939-can-this-person-be-translated/cast
Hospital Playlist,2020,36269,"Netflix,tvN","Romance,Life,Drama,Medical","Multiple Mains,Slow Romance,Multiple Couples,Friendship,Bromance,Slight Romance,Strong Female Lead,Healing,Nice Male Lead,Music",https://mydramalist.com/36269-doctor-playbook/cast
Reply 1988,2015,13544,tvN,"Comedy,Romance,Life,Youth","Nostalgia,Multiple Couples,Poor Family,Love Triangle,Friendship,High School,Mother-Son Relationship,Coming Of Age,Bromance,Poor Female Lead",https://mydramalist.com/13544-reply-1988/cast
My Mister,2018,25172,tvN,"Psychological,Life,Drama","Nice Male Lead,Depression,Healing,Poor Female Lead,Strong Female Lead,Infidelity,Lying,Power Struggle,Deception,Grandma-Granddaughter Relationship",https://mydramalist.com/25172-my-ajusshi/cast
